date_id,date,year,month,day,quarter,day_name
1,2024-01-01,2024,1,1,1,Monday
2,2024-01-02,2024,1,2,1,Tuesday
3,2024-01-03,2024,1,3,1,Wednesday
4,2024-01-04,2024,1,4,1,Thursday
5,2024-01-05,2024,1,5,1,Friday
6,2024-01-06,2024,1,6,1,Saturday
7,2024-01-07,2024,1,7,1,Sunday
8,2024-01-08,2024,1,8,1,Monday
9,2024-01-09,2024,1,9,1,Tuesday
10,2024-01-10,2024,1,10,1,Wednesday
11,2024-01-11,2024,1,11,1,Thursday
12,2024-01-12,2024,1,12,1,Friday
13,2024-01-13,2024,1,13,1,Saturday
14,2024-01-14,2024,1,14,1,Sunday
15,2024-01-15,2024,1,15,1,Monday
16,2024-01-16,2024,1,16,1,Tuesday
17,2024-01-17,2024,1,17,1,Wednesday
18,2024-01-18,2024,1,18,1,Thursday
19,2024-01-19,2024,1,19,1,Friday
20,2024-01-20,2024,1,20,1,Saturday
21,2024-01-21,2024,1,21,1,Sunday
22,2024-01-22,2024,1,22,1,Monday
23,2024-01-23,2024,1,23,1,Tuesday
24,2024-01-24,2024,1,24,1,Wednesday
25,2024-01-25,2024,1,25,1,Thursday
26,2024-01-26,2024,1,26,1,Friday
27,2024-01-27,2024,1,27,1,Saturday
28,2024-01-28,2024,1,28,1,Sunday
29,2024-01-29,2024,1,29,1,Monday
30,2024-01-30,2024,1,30,1,Tuesday
31,2024-01-31,2024,1,31,1,Wednesday
32,2024-02-01,2024,2,1,1,Thursday
33,2024-02-02,2024,2,2,1,Friday
34,2024-02-03,2024,2,3,1,Saturday
35,2024-02-04,2024,2,4,1,Sunday
36,2024-02-05,2024,2,5,1,Monday
37,2024-02-06,2024,2,6,1,Tuesday
38,2024-02-07,2024,2,7,1,Wednesday
39,2024-02-08,2024,2,8,1,Thursday
40,2024-02-09,2024,2,9,1,Friday
41,2024-02-10,2024,2,10,1,Saturday
42,2024-02-11,2024,2,11,1,Sunday
43,2024-02-12,2024,2,12,1,Monday
44,2024-02-13,2024,2,13,1,Tuesday
45,2024-02-14,2024,2,14,1,Wednesday
46,2024-02-15,2024,2,15,1,Thursday
47,2024-02-16,2024,2,16,1,Friday
48,2024-02-17,2024,2,17,1,Saturday
49,2024-02-18,2024,2,18,1,Sunday
50,2024-02-19,2024,2,19,1,Monday
51,2024-02-20,2024,2,20,1,Tuesday
52,2024-02-21,2024,2,21,1,Wednesday
53,2024-02-22,2024,2,22,1,Thursday
54,2024-02-23,2024,2,23,1,Friday
55,2024-02-24,2024,2,24,1,Saturday
56,2024-02-25,2024,2,25,1,Sunday
57,2024-02-26,2024,2,26,1,Monday
58,2024-02-27,2024,2,27,1,Tuesday
59,2024-02-28,2024,2,28,1,Wednesday
60,2024-02-29,2024,2,29,1,Thursday
61,2024-03-01,2024,3,1,1,Friday
62,2024-03-02,2024,3,2,1,Saturday
63,2024-03-03,2024,3,3,1,Sunday
64,2024-03-04,2024,3,4,1,Monday
65,2024-03-05,2024,3,5,1,Tuesday
66,2024-03-06,2024,3,6,1,Wednesday
67,2024-03-07,2024,3,7,1,Thursday
68,2024-03-08,2024,3,8,1,Friday
69,2024-03-09,2024,3,9,1,Saturday
70,2024-03-10,2024,3,10,1,Sunday
71,2024-03-11,2024,3,11,1,Monday
72,2024-03-12,2024,3,12,1,Tuesday
73,2024-03-13,2024,3,13,1,Wednesday
74,2024-03-14,2024,3,14,1,Thursday
75,2024-03-15,2024,3,15,1,Friday
76,2024-03-16,2024,3,16,1,Saturday
77,2024-03-17,2024,3,17,1,Sunday
78,2024-03-18,2024,3,18,1,Monday
79,2024-03-19,2024,3,19,1,Tuesday
80,2024-03-20,2024,3,20,1,Wednesday
81,2024-03-21,2024,3,21,1,Thursday
82,2024-03-22,2024,3,22,1,Friday
83,2024-03-23,2024,3,23,1,Saturday
84,2024-03-24,2024,3,24,1,Sunday
85,2024-03-25,2024,3,25,1,Monday
86,2024-03-26,2024,3,26,1,Tuesday
87,2024-03-27,2024,3,27,1,Wednesday
88,2024-03-28,2024,3,28,1,Thursday
89,2024-03-29,2024,3,29,1,Friday
